ACC_0,ACC_1,ACC_2,BVP,EDA,TEMP,labels
62.0,0.0,12.0,-31.41,0.164277,34.57,0.0
25.0,57.0,14.0,-52.22,0.237313,34.03,0.0
-65.0,0.0,6.0,-14.51,0.187026,31.49,0.0
18.0,61.0,6.0,13.34,0.250985,33.68,0.0
55.0,25.0,20.0,-22.78,0.517925,35.81,0.0
-62.0,1.0,18.0,22.34,0.189584,31.45,0.0
46.0,-27.0,8.0,114.97,6.905558,33.0,0.0
-54.0,-22.0,28.0,30.14,2.359053,34.43,0.0
13.0,-8.0,61.0,3.47,4.75979,32.71,0.0
36.0,9.0,50.0,20.97,0.252279,33.49,0.0
53.0,10.0,32.0,16.48,0.387856,31.05,0.0
59.0,-23.0,-2.0,-18.32,4.90549,33.75,0.0
60.0,-12.0,13.0,14.21,4.364907,34.21,0.0
-17.0,-8.0,-62.0,-43.52,0.11923,33.05,0.0
42.0,31.0,-9.0,-24.27,6.625401,32.95,0.0
62.0,-2.0,-14.0,16.11,0.455653,34.53,0.0
-33.0,54.0,6.0,8.44,2.567781,32.5,0.0
46.0,-39.0,-17.0,19.97,0.234369,33.57,0.0
-28.0,57.0,10.0,1.56,1.752108,31.93,0.0
-63.0,18.0,-4.0,1.31,2.306603,31.45,0.0
55.0,6.0,31.0,32.91,0.259954,33.45,0.0
-29.0,57.0,5.0,-11.72,5.037944,32.29,0.0
28.0,57.0,5.0,-29.14,0.230906,34.09,0.0
19.0,11.0,60.0,-12.72,1.222825,35.77,0.0
59.0,-23.0,-5.0,-12.8,2.904144,33.77,0.0
57.0,3.0,25.0,1.16,0.337908,34.03,0.0
-32.0,-7.0,-56.0,-31.73,0.11923,33.09,0.0
49.0,29.0,30.0,-32.56,0.121993,35.91,0.0
-35.0,-20.0,49.0,-6.66,2.739295,34.37,0.0
62.0,-2.0,-13.0,17.24,0.441582,34.25,0.0
31.0,27.0,48.0,16.69,0.30471,33.33,0.0
27.0,25.0,51.0,50.37,0.259954,33.29,0.0
-33.0,-6.0,-55.0,25.25,0.112834,33.13,0.0
20.0,7.0,59.0,-3.44,0.477399,31.59,0.0
54.0,-29.0,-7.0,-5.34,7.052671,32.65,0.0
29.0,57.0,3.0,-32.78,0.220656,34.07,0.0
20.0,8.0,59.0,-18.95,0.384019,31.65,0.0
36.0,-41.0,-30.0,-11.08,3.45703,33.75,0.0
57.0,23.0,17.0,-34.62,0.195029,33.66,0.0
-64.0,13.0,-5.0,11.25,0.457675,30.57,0.0
-31.0,-8.0,-55.0,7.01,0.111555,33.11,0.0
-21.0,-11.0,-60.0,-7.86,0.125626,32.99,0.0
-47.0,-17.0,40.0,-63.62,2.686846,34.37,0.0
60.0,-4.0,18.0,8.47,1.317746,33.79,0.0
12.0,-52.0,33.0,19.33,2.531752,31.73,0.0
54.0,-3.0,16.0,-47.34,0.165559,35.91,0.0
56.0,-28.0,-4.0,-9.84,7.128147,32.61,0.0
14.0,13.0,62.0,-2.49,1.279203,35.83,0.0
62.0,0.0,-10.0,17.78,0.202717,34.18,0.0
60.0,-4.0,18.0,11.62,1.42262,33.73,0.0
-63.0,1.0,17.0,-34.61,0.197259,31.39,0.0
-21.0,-11.0,-60.0,-72.34,0.126905,32.97,0.0
-50.0,70.0,5.0,-3.82,4.27873,32.27,0.0
52.0,-19.0,30.0,12.83,5.86398,33.0,0.0
36.0,25.0,46.0,-40.81,0.340527,33.39,0.0
56.0,-29.0,-4.0,33.04,6.888927,32.84,0.0
56.0,-11.0,26.0,-18.28,4.680342,34.29,0.0
57.0,-27.0,-10.0,-67.72,6.109155,33.16,0.0
5.0,2.0,54.0,-40.53,0.548746,35.79,0.0
-33.0,-8.0,-55.0,7.79,0.13458,32.91,0.0
57.0,6.0,27.0,18.96,0.261234,33.43,0.0
46.0,-39.0,-17.0,18.03,0.235649,33.55,0.0
20.0,8.0,59.0,-4.89,0.399369,31.61,0.0
53.0,-17.0,30.0,8.09,5.278399,33.13,0.0
28.0,26.0,51.0,35.11,0.262513,33.29,0.0
6.0,-53.0,32.0,25.55,2.497212,31.73,0.0
40.0,-38.0,-31.0,24.35,3.810019,33.87,0.0
20.0,8.0,59.0,8.4,0.464607,31.59,0.0
-39.0,43.0,3.0,-36.6,4.23773,32.34,0.0
60.0,-17.0,4.0,20.56,7.493466,34.68,0.0
-62.0,21.0,6.0,-0.41,2.55222,31.85,0.0
60.0,-13.0,14.0,35.74,4.744304,33.87,0.0
-54.0,-22.0,28.0,-0.22,2.361611,34.43,0.0
-20.0,-6.0,-61.0,45.91,0.120509,33.07,0.0
34.0,10.0,52.0,-12.25,0.248441,33.57,0.0
28.0,26.0,50.0,10.64,0.271451,33.49,0.0
62.0,-2.0,-12.0,9.43,0.450536,34.29,0.0
35.0,23.0,47.0,9.98,0.277847,33.39,0.0
-20.0,-4.0,-61.0,23.0,0.120509,33.07,0.0
62.0,-2.0,-14.0,25.71,0.44414,34.31,0.0
-12.0,63.0,12.0,96.94,2.048592,32.27,0.0
40.0,13.0,-47.0,4.55,0.111743,35.93,0.0
11.0,-59.0,19.0,15.45,0.188305,31.43,0.0
-32.0,-7.0,-56.0,-34.06,0.11923,33.05,0.0
-28.0,57.0,13.0,2.85,3.172094,32.45,0.0
61.0,0.0,-17.0,99.79,0.191185,34.21,0.0
-58.0,-6.0,-29.0,-23.18,0.108996,33.07,0.0
-19.0,-6.0,-61.0,15.47,0.123067,33.05,0.0
56.0,-28.0,-7.0,63.89,7.069302,32.57,0.0
-29.0,-9.0,-57.0,6.57,0.123067,33.09,0.0
27.0,25.0,51.0,56.14,0.251,33.25,0.0
-62.0,20.0,-2.0,2.62,2.350098,31.51,0.0
61.0,-2.0,-13.0,-33.74,0.451815,34.45,0.0
-22.0,-4.0,-61.0,38.39,0.123067,33.07,0.0
-34.0,-8.0,-56.0,-47.65,0.125626,33.11,0.0
53.0,26.0,21.0,-9.48,0.097648,35.91,0.0
28.0,14.0,54.0,16.66,0.24972,33.53,0.0
57.0,-11.0,26.0,-22.5,4.704648,34.23,0.0
21.0,7.0,59.0,-23.7,0.417277,31.59,0.0
57.0,-26.0,9.0,26.32,7.806533,34.66,0.0
29.0,24.0,51.0,52.33,0.265071,33.29,0.0
-36.0,-21.0,48.0,-169.11,2.958047,34.31,0.0
-50.0,-21.0,36.0,-90.04,2.909436,34.31,0.0
57.0,-26.0,-1.0,36.15,6.878693,32.99,0.0
22.0,10.0,58.0,-9.74,0.25866,34.09,0.0
54.0,10.0,31.0,-6.38,0.391694,31.21,0.0
0.0,-3.0,46.0,3.83,8.210776,34.79,0.0
39.0,50.0,-8.0,12.74,0.262497,33.57,0.0
-33.0,61.0,8.0,-6.03,3.843391,32.41,0.0
30.0,17.0,53.0,-9.31,0.22796,34.23,0.0
20.0,8.0,59.0,9.27,0.403206,31.63,0.0
-32.0,53.0,8.0,4.45,4.424223,32.27,0.0
57.0,23.0,17.0,18.78,0.209124,33.65,0.0
60.0,-4.0,18.0,-15.86,1.565861,33.99,0.0
-30.0,56.0,9.0,43.04,4.77913,32.29,0.0
62.0,-2.0,-13.0,10.26,0.451815,34.43,0.0
58.0,25.0,6.0,61.79,0.118149,35.89,0.0
-36.0,56.0,6.0,13.92,5.178551,32.31,0.0
-62.0,18.0,-11.0,-0.76,2.373124,31.57,0.0
29.0,27.0,49.0,6.29,0.276568,33.49,0.0
51.0,-14.0,35.0,46.72,6.202982,33.11,0.0
20.0,7.0,59.0,10.1,0.495307,31.59,0.0
60.0,-12.0,13.0,19.59,4.335485,33.87,0.0
-48.0,-18.0,38.0,-58.2,2.726503,34.34,0.0
-64.0,13.0,-5.0,3.44,0.449987,30.65,0.0
52.0,6.0,36.0,11.85,0.234313,33.97,0.0
-60.0,-20.0,16.0,33.17,2.828843,34.31,0.0
62.0,8.0,-8.0,26.72,1.082322,33.77,0.0
-30.0,56.0,10.0,-0.35,2.256437,31.99,0.0
55.0,-27.0,-5.0,37.71,6.581198,33.09,0.0
52.0,10.0,34.0,6.58,0.389135,31.01,0.0
-62.0,1.0,18.0,11.5,0.190863,31.39,0.0
55.0,-14.0,27.0,-12.11,5.851188,33.07,0.0
59.0,-21.0,-2.0,-7.87,2.989849,33.81,0.0
49.0,13.0,-37.0,-36.63,0.835486,34.15,0.0
-61.0,20.0,-12.0,-6.17,2.36289,31.57,0.0
-52.0,-19.0,32.0,28.29,2.452438,34.41,0.0
52.0,-31.0,14.0,40.45,8.872946,34.79,0.0
52.0,15.0,-33.0,120.2,0.834207,34.16,0.0
-33.0,-8.0,-55.0,-22.7,0.137138,32.93,0.0
53.0,-17.0,30.0,6.63,5.228509,33.16,0.0
-33.0,76.0,23.0,5.9,2.928216,32.47,0.0
47.0,-34.0,23.0,-25.08,4.736629,33.45,0.0
46.0,21.0,41.0,40.8,0.288029,34.0,0.0
27.0,25.0,51.0,18.79,0.257396,33.29,0.0
57.0,-22.0,-18.0,-25.94,2.045513,33.93,0.0
60.0,-4.0,18.0,-12.55,1.161715,34.33,0.0
57.0,5.0,27.0,15.77,0.262513,33.43,0.0
-64.0,0.0,10.0,-46.53,0.187026,31.47,0.0
-34.0,-6.0,-55.0,-4.33,0.114113,33.11,0.0
-62.0,18.0,-10.0,-4.25,2.371845,31.59,0.0
57.0,23.0,17.0,31.26,0.183497,33.79,0.0
58.0,-12.0,23.0,26.4,4.712323,34.21,0.0
57.0,22.0,17.0,8.62,0.25397,33.63,0.0
-31.0,57.0,10.0,5.09,1.621421,31.93,0.0
-28.0,-42.0,-38.0,-51.54,0.121788,33.03,0.0
59.0,-23.0,-4.0,-1.53,3.056366,33.81,0.0
62.0,12.0,-1.0,-40.85,8.045753,34.79,0.0
48.0,-3.0,41.0,-16.73,0.207455,34.15,0.0
50.0,-11.0,-40.0,-37.54,0.366728,35.89,0.0
-17.0,-8.0,-61.0,-16.99,0.121788,33.07,0.0
13.0,-9.0,61.0,-15.29,4.946516,32.73,0.0
20.0,12.0,45.0,-8.57,8.751416,34.79,0.0
52.0,5.0,35.0,15.7,0.234313,33.95,0.0
24.0,-50.0,30.0,28.25,2.535589,31.75,0.0
60.0,-12.0,13.0,2.26,4.354673,34.43,0.0
-36.0,-24.0,-38.0,-36.52,3.098765,33.79,0.0
54.0,-1.0,33.0,-4.94,0.303376,34.03,0.0
58.0,0.0,-21.0,-62.59,0.2245,34.29,0.0
54.0,23.0,22.0,13.47,0.150183,35.89,0.0
28.0,24.0,51.0,-80.29,0.268909,33.29,0.0
28.0,25.0,51.0,55.22,0.253558,33.27,0.0
64.0,15.0,5.0,-30.0,0.250126,35.75,0.0
20.0,8.0,59.0,29.18,0.390415,31.63,0.0
-62.0,18.0,-10.0,2.43,2.440925,31.65,0.0
65.0,10.0,3.0,35.16,7.992025,34.81,0.0
54.0,0.0,32.0,3.56,0.328955,34.05,0.0
20.0,7.0,59.0,-28.65,0.423673,31.59,0.0
-20.0,-4.0,-61.0,37.77,0.121788,33.07,0.0
42.0,11.0,46.0,28.44,0.524728,31.59,0.0
59.0,-22.0,-3.0,24.52,3.083229,33.81,0.0
-52.0,-20.0,31.0,-70.3,2.467789,34.41,0.0
29.0,26.0,50.0,23.62,0.297035,33.31,0.0
59.0,-22.0,-3.0,17.02,3.10716,33.71,0.0
56.0,-29.0,-6.0,52.73,7.039879,32.63,0.0
-57.0,-24.0,20.0,-91.08,2.877455,34.33,0.0
17.0,61.0,6.0,9.33,0.217726,34.34,0.0
27.0,25.0,51.0,-43.68,0.251,33.25,0.0
61.0,-26.0,-12.0,-40.37,6.62796,33.0,0.0
40.0,21.0,44.0,-71.38,0.234355,34.27,0.0
40.0,22.0,44.0,6.1,0.217726,34.41,0.0
60.0,-15.0,9.0,-3.09,4.509462,30.17,0.0
-30.0,56.0,12.0,-27.18,4.113736,32.37,0.0
-54.0,-22.0,28.0,-6.9,2.373124,34.41,0.0
62.0,-14.0,-6.0,-73.72,4.882463,33.99,0.0
-54.0,-22.0,28.0,-50.52,2.357773,34.43,0.0
58.0,-20.0,-6.0,-151.25,2.855536,33.81,0.0
57.0,23.0,17.0,3.83,0.20528,33.66,0.0
29.0,24.0,51.0,-31.22,0.271468,33.31,0.0
62.0,0.0,-14.0,-62.87,0.177091,34.39,0.0
51.0,6.0,36.0,-6.53,0.222803,33.93,0.0
59.0,-22.0,-4.0,20.5,3.103695,33.81,0.0
-63.0,2.0,16.0,-40.09,0.179351,31.45,0.0
59.0,-20.0,-3.0,-3.21,4.773727,33.77,0.0
48.0,-33.0,23.0,-1.65,4.684179,33.53,0.0
20.0,7.0,59.0,-27.15,0.49019,31.59,0.0
13.0,-9.0,61.0,-1.57,4.570506,32.71,0.0
42.0,19.0,43.0,11.44,0.256055,34.0,0.0
58.0,25.0,5.0,35.02,0.118149,35.89,0.0
62.0,-2.0,-12.0,-17.41,0.451815,34.29,0.0
55.0,-1.0,31.0,21.41,0.208734,34.15,0.0
20.0,8.0,59.0,-9.8,0.417277,31.61,0.0
-33.0,56.0,10.0,-3.21,2.088592,31.99,0.0
38.0,-43.0,25.0,88.09,2.673106,34.16,0.0
56.0,-13.0,26.0,4.52,4.73407,34.37,0.0
-46.0,-12.0,43.0,14.38,2.758484,34.33,0.0
30.0,11.0,54.0,34.63,0.889201,34.18,0.0
-33.0,-6.0,-54.0,-54.18,0.115392,33.11,0.0
35.0,11.0,52.0,5.53,0.239486,33.5,0.0
11.0,21.0,59.0,37.06,1.292168,34.29,0.0
-63.0,19.0,-6.0,-7.63,2.333468,31.51,0.0
14.0,-9.0,60.0,-13.66,4.202711,32.65,0.0
-31.0,55.0,10.0,3.35,3.248969,32.15,0.0
39.0,50.0,-7.0,1.92,0.265056,33.57,0.0
39.0,19.0,46.0,27.35,0.235592,34.0,0.0
57.0,23.0,17.0,27.2,0.200155,33.65,0.0
59.0,-1.0,5.0,-135.23,1.539203,34.0,0.0
53.0,-12.0,-31.0,-29.31,0.418557,34.11,0.0
62.0,0.0,12.0,0.55,0.154027,34.63,0.0
57.0,22.0,17.0,61.75,0.355196,33.71,0.0
-34.0,-6.0,-55.0,28.51,0.115392,33.11,0.0
50.0,31.0,24.0,-15.82,0.38851,35.87,0.0
-63.0,2.0,17.0,-1.02,0.18063,31.41,0.0
59.0,-22.0,-1.0,6.79,4.974569,33.99,0.0
64.0,1.0,-7.0,4.78,0.21553,34.37,0.0
60.0,-4.0,18.0,8.38,1.029984,35.03,0.0
57.0,23.0,18.0,-6.44,0.297536,33.68,0.0
30.0,25.0,49.0,-31.66,0.318781,33.33,0.0
64.0,3.0,-4.0,-182.71,4.798033,34.53,0.0
-18.0,-10.0,-61.0,-55.67,0.121788,33.07,0.0
62.0,-1.0,14.0,91.72,0.400576,33.87,0.0
30.0,-15.0,54.0,-4.96,8.100093,33.43,0.0
31.0,22.0,51.0,-126.68,0.236914,34.25,0.0
55.0,6.0,30.0,8.37,0.261234,33.43,0.0
-61.0,18.0,-13.0,-9.72,2.361611,31.57,0.0
9.0,-48.0,39.0,-15.62,2.558616,31.75,0.0
17.0,17.0,59.0,42.79,0.24203,34.18,0.0
63.0,5.0,7.0,-9.96,0.377555,33.83,0.0
54.0,21.0,24.0,-36.44,0.293692,35.83,0.0
-32.0,57.0,7.0,-1.35,3.917704,32.43,0.0
-50.0,-21.0,46.0,8.06,2.967002,34.33,0.0
25.0,57.0,13.0,25.37,0.230906,34.05,0.0
53.0,-12.0,-32.0,-19.61,0.414719,34.16,0.0
42.0,-17.0,42.0,-89.82,1.561096,35.81,0.0
-52.0,-25.0,31.0,88.56,2.352656,34.43,0.0
54.0,9.0,31.0,7.42,0.391694,31.17,0.0
-28.0,57.0,10.0,1.98,1.623983,31.91,0.0
49.0,-32.0,23.0,17.01,4.508922,33.75,0.0
-64.0,13.0,-6.0,2.61,0.444862,30.63,0.0
8.0,-58.0,23.0,-12.19,2.511284,31.75,0.0
50.0,-14.0,35.0,9.67,6.080174,33.11,0.0
42.0,19.0,42.0,-41.75,0.254776,34.03,0.0
38.0,-40.0,-33.0,86.51,3.701308,33.84,0.0
60.0,-12.0,13.0,7.43,4.363628,34.59,0.0
31.0,10.0,53.0,12.96,0.372439,34.0,0.0
60.0,-12.0,13.0,8.65,4.355952,34.37,0.0
60.0,-13.0,15.0,0.34,4.73407,33.93,0.0
40.0,19.0,45.0,2.65,0.241987,34.0,0.0
43.0,-44.0,12.0,2.29,3.646314,33.68,0.0
57.0,-27.0,-3.0,-38.58,7.13966,32.89,0.0
-64.0,13.0,-5.0,-2.36,0.446143,30.67,0.0
-62.0,18.0,-10.0,12.01,2.355215,31.57,0.0
34.0,17.0,51.0,41.37,0.231797,34.31,0.0
53.0,8.0,33.0,7.84,0.211292,33.95,0.0
-40.0,-16.0,40.0,19.35,2.456276,34.41,0.0
59.0,-5.0,21.0,13.18,1.000568,35.21,0.0
54.0,12.0,-31.0,25.59,6.723195,33.09,0.0
54.0,9.0,33.0,-17.28,0.210013,33.95,0.0
24.0,-31.0,51.0,-25.01,8.17112,34.79,0.0
-41.0,23.0,44.0,15.16,3.030965,34.31,0.0
-37.0,-12.0,-53.0,27.52,0.105159,33.09,0.0
53.0,8.0,33.0,-0.97,0.212571,33.97,0.0
21.0,-52.0,29.0,-10.59,2.55094,31.71,0.0
56.0,-29.0,-3.0,18.67,7.239442,32.59,0.0
-45.0,-23.0,39.0,52.72,2.561174,34.37,0.0
47.0,-35.0,23.0,-2.87,4.93875,33.23,0.0
-62.0,-16.0,-38.0,-17.6,0.859988,32.55,0.0
38.0,38.0,34.0,18.51,0.646127,35.73,0.0
62.0,-1.0,-12.0,8.58,0.455653,34.34,0.0
54.0,10.0,31.0,6.06,0.391694,31.23,0.0
-64.0,14.0,-5.0,-2.85,0.446143,30.63,0.0
56.0,-29.0,-3.0,13.79,7.211298,32.61,0.0
47.0,1.0,42.0,-17.64,0.368602,33.99,0.0
56.0,22.0,18.0,97.94,0.343664,33.73,0.0
61.0,-2.0,-13.0,9.38,0.458211,34.53,0.0
59.0,-5.0,16.0,-52.01,0.380113,34.03,0.0
61.0,-15.0,-3.0,-44.21,4.90549,33.84,0.0
27.0,-33.0,46.0,21.05,7.998421,34.77,0.0
-62.0,-19.0,3.0,57.57,2.651027,34.37,0.0
36.0,28.0,43.0,13.65,0.348202,33.41,0.0
62.0,-4.0,9.0,-1.74,8.809422,33.0,0.0
-32.0,-8.0,-56.0,5.9,0.121788,33.09,0.0
56.0,-17.0,23.0,-10.02,4.794195,33.79,0.0
17.0,14.0,61.0,12.79,0.248426,34.21,0.0
-63.0,18.0,-10.0,-5.8,2.416619,31.63,0.0
60.0,-4.0,18.0,-49.89,1.390646,33.71,0.0
62.0,-1.0,-13.0,-11.4,0.453094,34.29,0.0
8.0,-14.0,54.0,-40.43,0.363486,33.99,0.0
39.0,-17.0,47.0,-11.3,8.089861,33.43,0.0
-63.0,18.0,-2.0,-0.55,2.323234,31.51,0.0
62.0,-1.0,-12.0,13.82,0.451815,34.29,0.0
28.0,24.0,51.0,-15.93,0.253558,33.27,0.0
56.0,-17.0,23.0,-16.53,4.73535,34.45,0.0
62.0,-2.0,-13.0,-27.05,0.445419,34.27,0.0
43.0,25.0,38.0,20.5,0.291918,33.31,0.0
59.0,-21.0,-2.0,31.62,3.014153,33.81,0.0
17.0,44.0,-12.0,32.83,6.340699,33.11,0.0
57.0,5.0,27.0,-3.44,0.263792,33.45,0.0
-41.0,23.0,44.0,-23.36,3.029685,34.31,0.0
57.0,6.0,27.0,15.42,0.262513,33.43,0.0
20.0,8.0,59.0,-16.8,0.435186,31.61,0.0
54.0,26.0,21.0,-15.0,0.093804,35.95,0.0
44.0,19.0,42.0,-2.7,0.27396,34.03,0.0
53.0,-12.0,-32.0,1.11,0.418557,34.09,0.0
56.0,-29.0,-4.0,21.7,7.166525,32.63,0.0
55.0,-29.0,-8.0,-17.73,6.876135,32.71,0.0
42.0,13.0,-45.0,-39.8,0.114305,35.87,0.0
53.0,10.0,33.0,-4.52,0.392973,31.09,0.0
62.0,12.0,0.0,-119.64,8.026565,34.77,0.0
62.0,-13.0,-6.0,-11.92,4.901652,33.99,0.0
47.0,9.0,42.0,-43.0,0.206176,33.99,0.0
60.0,-4.0,18.0,-14.51,1.118231,34.59,0.0
28.0,25.0,51.0,35.07,0.26763,33.29,0.0
39.0,-42.0,25.0,96.8,2.528585,34.25,0.0
-60.0,-20.0,16.0,17.46,2.775115,34.33,0.0
63.0,0.0,-6.0,16.47,0.195029,34.34,0.0
60.0,-12.0,13.0,18.48,4.338043,33.91,0.0
44.0,-42.0,15.0,16.24,3.646314,33.61,0.0
56.0,-5.0,-8.0,1.94,4.776286,34.45,0.0
-46.0,-21.0,38.0,-62.81,2.553499,34.37,0.0
-64.0,13.0,-5.0,1.92,0.453831,30.61,0.0
61.0,-2.0,-13.0,17.05,0.454373,34.47,0.0
-63.0,2.0,16.0,-26.97,0.183188,31.45,0.0
24.0,57.0,14.0,-131.25,0.296254,34.07,0.0
39.0,13.0,48.0,26.52,0.215168,34.5,0.0
-63.0,1.0,15.0,-50.46,0.18063,31.47,0.0
40.0,14.0,-47.0,9.33,0.111743,35.95,0.0
60.0,-4.0,18.0,29.14,1.432851,33.71,0.0
61.0,-1.0,-12.0,11.72,0.449257,34.23,0.0
60.0,-4.0,18.0,10.33,1.09521,34.71,0.0
42.0,13.0,-45.0,1.52,0.114305,35.91,0.0
28.0,25.0,51.0,-25.51,0.270188,33.25,0.0
57.0,23.0,17.0,-23.44,0.174528,34.16,0.0
-28.0,57.0,9.0,3.71,1.767483,31.93,0.0
-32.0,55.0,11.0,-12.08,3.911298,32.41,0.0
60.0,-12.0,13.0,0.59,4.355952,34.18,0.0
-45.0,-8.0,11.0,-3.42,3.47439,32.47,0.0
60.0,-4.0,19.0,3.41,1.329257,33.75,0.0
62.0,-2.0,-13.0,4.66,0.447978,34.34,0.0
18.0,-31.0,-1.0,20.56,0.24972,33.55,0.0
53.0,-17.0,30.0,-6.5,5.323174,33.0,0.0
61.0,-14.0,9.0,5.97,4.51458,30.19,0.0
-32.0,55.0,10.0,-3.08,3.776846,32.49,0.0
56.0,-28.0,-6.0,-19.3,7.197227,32.57,0.0
59.0,-20.0,-3.0,-51.87,4.613821,33.81,0.0
62.0,12.0,-2.0,-42.83,0.385229,33.84,0.0
59.0,-9.0,19.0,-14.58,8.823491,33.21,0.0
26.0,26.0,51.0,24.88,0.244603,33.25,0.0
60.0,-14.0,12.0,-69.87,6.761573,34.71,0.0
52.0,-19.0,31.0,11.98,5.644266,32.99,0.0
-22.0,-7.0,-26.0,51.27,3.114116,33.81,0.0
56.0,25.0,17.0,-28.67,0.104055,35.91,0.0
41.0,28.0,-21.0,-27.66,6.890206,33.03,0.0
59.0,-5.0,20.0,17.34,1.017096,35.23,0.0
60.0,-15.0,8.0,-4.23,4.546561,30.19,0.0
61.0,-9.0,-2.0,-8.67,4.890139,34.0,0.0
56.0,25.0,18.0,11.02,0.532019,35.77,0.0
32.0,-45.0,-31.0,-1.04,0.24972,33.61,0.0
30.0,4.0,55.0,10.97,0.431082,33.33,0.0
17.0,61.0,7.0,9.63,0.221564,34.37,0.0
30.0,26.0,49.0,-11.8,0.32006,33.34,0.0
52.0,-13.0,-34.0,6.58,0.404486,34.18,0.0
-28.0,57.0,9.0,-3.64,1.975842,31.95,0.0
55.0,-30.0,-5.0,27.98,6.79938,32.83,0.0
59.0,0.0,-19.0,8.55,0.211686,34.27,0.0
53.0,10.0,33.0,-18.31,0.386577,31.05,0.0
36.0,19.0,49.0,28.69,0.229239,34.27,0.0
65.0,-4.0,-9.0,107.27,6.113434,33.07,0.0
21.0,7.0,59.0,-1.05,0.407044,31.59,0.0
33.0,25.0,48.0,-98.89,0.327735,33.33,0.0
-57.0,-7.0,-32.0,-25.38,0.106438,33.07,0.0
62.0,0.0,12.0,-12.46,0.152745,34.61,0.0
-27.0,-10.0,-58.0,30.93,0.123067,32.95,0.0
11.0,-59.0,18.0,19.8,0.189584,31.47,0.0
59.0,-26.0,-10.0,-6.55,6.170558,33.18,0.0
12.0,2.0,61.0,145.59,8.59151,34.77,0.0
-29.0,57.0,9.0,-2.29,1.861015,31.95,0.0
43.0,-45.0,11.0,-31.87,3.315067,33.65,0.0
-50.0,-22.0,33.0,-69.16,3.148656,34.25,0.0
57.0,-23.0,-13.0,-12.55,2.342282,33.91,0.0
-33.0,55.0,9.0,-1.58,0.525581,32.57,0.0
-32.0,-8.0,-55.0,11.42,0.108996,33.11,0.0
-65.0,-1.0,7.0,38.87,0.190863,31.49,0.0
53.0,1.0,34.0,12.49,0.312329,34.0,0.0
27.0,24.0,52.0,-25.53,0.293197,33.31,0.0
60.0,0.0,-19.0,15.33,0.142495,34.11,0.0
62.0,-1.0,-12.0,18.83,0.456932,34.33,0.0
-32.0,-7.0,-55.0,-67.46,0.135859,32.93,0.0
58.0,-2.0,24.0,3.38,0.215129,34.15,0.0
28.0,25.0,51.0,-62.24,0.254837,33.27,0.0
57.0,16.0,23.0,-26.89,0.209124,35.79,0.0
23.0,6.0,58.0,11.63,8.276018,34.77,0.0
75.0,-47.0,3.0,-25.91,6.381635,33.09,0.0
43.0,-43.0,13.0,53.43,3.540161,33.73,0.0
29.0,57.0,3.0,12.96,0.216812,34.07,0.0
20.0,7.0,59.0,-3.43,0.47484,31.61,0.0
57.0,23.0,17.0,24.58,0.175809,34.16,0.0
-61.0,-14.0,13.0,-124.73,3.036082,34.31,0.0
28.0,26.0,51.0,14.48,0.284243,33.29,0.0
36.0,38.0,35.0,-49.56,0.279126,33.29,0.0
